Crime Books and Storage,,,,,,,
,,,,,,,
,Author (Surname),Author (First Name),Title,Detective,Series,Year,Box
,Cornwell,Patricia,Red Mist,Scarpetta,,2011,
,Cornwell,Patricia,At Risk,Scarpetta,,,R
,Cornwell,Patricia,Black Notice,Scarpetta,,,C
,Cornwell,Patricia,Blowfly,Scarpetta,,,S
,Cornwell,Patricia,Book of the Dead,Scarpetta,,,C
,Cornwell,Patricia,Cruel and Unusual,Scarpetta,,,O
,Cornwell,Patricia,Dust,Scarpetta,,,
,Cornwell,Patricia,From Potter's Field,Scarpetta,,,G
,Cornwell,Patricia,Point of Origin,Scarpetta,,,G
,Cornwell,Patricia,Port Mortuary,Scarpetta,,,Q
,Cornwell,Patricia,Predator,Scarpetta,,,C
,Cornwell,Patricia,Scarpetta,Scarpetta,,,u
,Cornwell,Patricia,The Body Farm,Scarpetta,,,O
,Cornwell,Patricia,The Front,Scarpetta,,,T
,Cornwell,Patricia,The Last Precinct,Scarpetta,,,M
,Cornwell,Patricia,The Scarpetta Factor,Scarpetta,,,I
,Cornwell,Patricia,The Scarpetta Factor,Scarpetta,,,P
,Cornwell,Patricia,Trace,Scarpetta,,,S
,Cornwell,Patricia,Unnatural Exposure,Scarpetta,,,G
,Crispin,Edmund,Loves Lies Bleeding,,,,K
,Crombie,Deborah,A Share in Death*1,Kincaid & James,,,Q
,Crombie,Deborah,In A Dark House*2,Kincaid & James,,,Q
,Crombie,Deborah,Leave the Grave Green*2,Kincaid & James,,,Q
,Crombie,Deborah,Now You May Weep*1,Kincaid & James,,,Q
,Dahl,Arne,The Blinded Man,Paul Hjelm,1,2011,
,Dahl,Arne,Bad Blood,Paul Hjelm,2,2013,
,Davis,Lindsey,A Body in the Bath House (2x),Falco,,,C
,Davis,Lindsey,A Dying Light in Cordoba,Falco,,,C
,Davis,Lindsey,Alexandria,Falco,,,B
,Davis,Lindsey,Last Act in Palmyra,Falco,,,L
,Davis,Lindsey,Ode to a Banker,Falco,,,B
,Davis,Lindsey,One Virgin Too Many,Falco,,,B
,Davis,Lindsey,Saturnalia,Falco,,,W
,Davis,Lindsey,Scandal Takes a Holiday,Falco,,,S
,Davis,Lindsey,Shadows in Bronze,Falco,,,L
,Davis,Lindsey,The Accusers,Falco,,,C
,Davis,Lindsey,The Iron Hand of Mars,Falco,,,L
,Davis,Lindsey,The Jupiter Myth,Falco,,,B
,Davis,Lindsey,The Silver Pigs,Falco,,,L
,Davis,Lindsey,Three Hands in the Fountain,Falco,,,B
,Davis,Lindsey,Time to Depart,Falco,,,C
,Davis,Lindsey,Two for the Lions,Falco,,,C
,Davis,Lindsey,Venus in Copper,Falco,,,L
,Dean,Miss Anna,A Gentleman of Fortune,Miss Dido Kent,,,
,Dean,Miss Anna,A Moment of Silence,Miss Dido Kent,,,
,Dean,Miss Anna,A Place of Confinement,Miss Dido Kent,,,
,Dean,Miss Anna,A Woman of Consequence,Miss Dido Kent,,,
,Deaver,Jeffery,Edge,Corte,,,Q
,Deaver,Jeffery,Shallow Graves,John Pellam,1,1992,M
,Deaver,Jeffery,Bloody River Blues,John Pellam,2,1993,M
,Deaver,Jeffery,Hell's Kitchen,John Pellam,3,2001,J
,Deaver,Jeffery,The Sleeping Doll,Kathryn Dance,1,2007,T
,Deaver,Jeffery,XO,Kathryn Dance,2,,
,Deaver,Jeffery,The Coffin Dancer,Lincoln Rhyme,2,1998,F
,Deaver,Jeffery,The Empty Chair,Lincoln Rhyme,3,2000,G
,Deaver,Jeffery,The Stone Monkey,Lincoln Rhyme,4,2002,G
,Deaver,Jeffery,The Vanished Man,Lincoln Rhyme,5,2003,D
,Deaver,Jeffery,The Twelfth Card,Lincoln Rhyme,6,2005,R
,Deaver,Jeffery,The Cold Moon,Lincoln Rhyme,7,2006,R
,Deaver,Jeffery,The Broken Window,Lincoln Rhyme,8,2008,M
,Deaver,Jeffery,The Burning Wire,Lincoln Rhyme,9,2010,P
,Deaver,Jeffery,The Kill Room,Lincoln Rhyme,10,,
,Deaver,Jeffery,The Skin Collector,Lincoln Rhyme,11,2015,
,Deaver,Jeffery,Mistress of Justice,,,1992,C
,Deaver,Jeffery,Praying for Sleep,,,1994,B
,Deaver,Jeffery,A Maiden's Grave,,,1995,C
,Deaver,Jeffery,Speaking in Tongues,,,1995,C
,Deaver,Jeffery,The Devil's Teardrop,,,1999,C
,Deaver,Jeffery,The Blue Nowhere,,,2001,I
,Deaver,Jeffery,Garden of Beasts,,,2004,M
,Deaver,Jeffery,The Bodies Left Behind,,,2009,B
,Dexter,Colin,Death is Now Thy Neighbour,Morse,,,G
,Dexter,Colin,Death is Now Thy Neighbour,Morse,,,J
,Dexter,Colin,Last Bus to Woodstock,Morse,,,J
,Dexter,Colin,Last Seen Wearing,Morse,,,J
,Dexter,Colin,Morse's Greatest Mystery,Morse,,,G
,Dexter,Colin,Service of All the Dead,Morse,,,J
,Dexter,Colin,The Daughter's of Cain,Morse,,,J
,Dexter,Colin,The Dead of Jericho,Morse,,,J
,Dexter,Colin,The Jewel That Was Ours,Morse,,,J
,Dexter,Colin,The Remorseful Day,Morse,,,J
,Dexter,Colin,The Riddle of the Third Mile,Morse,,,J
,Dexter,Colin,The Secret of Annex 3,Morse,,,J
,Dexter,Colin,The Silent World of Nicholas Quinn,Morse,,,J
,Dexter,Colin,The Way Through the Woods,Morse,,,J
,Dexter,Colin,The Wench is Dead,Morse,,,J
,Dickinson,David,Death of a Chancellor,,,,C
,Doherty,P.C.,Crown In Darkness,Hugh Corbett,,,
,Doherty,P.C.,A Brood of Vipers,,,,O
,Doherty,P.C.,A Tapestry of Murders,,,,O
,Doherty,P.C.,A Tournament of Murders,,,,O
,Doherty,P.C.,An Ancient Evil,,,,O
,Doherty,P.C.,The Gallows Murders,,,,O
,Doherty,P.C.,The Grail Murders,,,,O
,Doherty,P.C.,The Poisoned Chalice,,,,O
,Doherty,P.C.,The White Rose Murders,,,,O
,Doherty,Paul,The Demon Archer,Hugh Corbett,,,
,Doherty,Paul,A Haunt of Murder,,,,R
,Doherty,Paul,Corpse Candle,,,,S
,Doherty,Paul,Ghostly Murders,,,,G
,Doherty,Paul,Satan's Fire,,,,I
,Doherty,Paul,The Anubis Slayings,,,,I
,Doherty,Paul,The Cup of Ghosts,,,,U
,Doherty,Paul,The Devil's Domain,,,,G
,Doherty,Paul,The Field of Blood,,,,R
,Doherty,Paul,The Hangman's Hymn,,,,R
,Doherty,Paul,The Horus Killings,,,,I
,Doherty,Paul,The House of Shadows,,,,R
,Doherty,Paul,The Mask of Ra,,,,I
,Doherty,Paul,The Song of a Dark Angel,,,,I
,Doherty,Paul,The Templar,,,,C
,Dohery,Paul,Corpse Candle,Hugh Corbet,,,Q
,Dohery,Paul,The Devil's Hunt,Hugh Corbet,,,Q
,Dohery,Paul,The Poison Maiden,Mathilde,,,Q
,Dunn,Carola,Death at Wentwater Court,Daisy Dalrymple,1,,
,Dunn,Carola,The Winter Garden Mystery,Daisy Dalrymple,2,,
,Dunn,Carola,Requiem for a Mezzo,Daisy Dalrymple,3,,
,Dunn,Carola,Murder on the Flying Scotsman,Daisy Dalrymple,4,,
,Dunn,Carola,Damsel in Distress,Daisy Dalrymple,5,,
,Dunn,Carola,Dead in the Water,Daisy Dalrymple,6,,
,Dunn,Carola,Manna from Hades,Eleanor Trewynn,1,,
,Dunn,Carola,A Colourful Death,Eleanor Trewynn,2,,
